Team,Team EFg%,Opp EFg%,Team FT Rate,Opp FT Rate%,Team TO Rate,Opp TO Rate,Team Off. Reb.%,Opp Reb Rate%,Win,Loss,Season,Season Type,Match Count
Houston Rockets,0.46,0.467,0.286,0.194,0.162,0.131,0.243,0.25,3,4,2006-2007,POFF,7
Los Angeles Lakers,0.479,0.528,0.181,0.225,0.157,0.126,0.314,0.251,1,4,2006-2007,POFF,5
Miami Heat,0.482,0.505,0.224,0.257,0.16,0.149,0.196,0.257,0,4,2006-2007,POFF,4
New Jersey Nets,0.497,0.463,0.236,0.257,0.173,0.153,0.218,0.236,6,6,2006-2007,POFF,12
Orlando Magic,0.495,0.495,0.228,0.33,0.165,0.112,0.283,0.288,0,4,2006-2007,POFF,4
Phoenix Suns,0.52,0.492,0.232,0.213,0.142,0.153,0.234,0.284,6,5,2006-2007,POFF,11
San Antonio Spurs,0.508,0.471,0.229,0.228,0.149,0.155,0.265,0.276,16,4,2006-2007,POFF,20
Toronto Raptors,0.478,0.521,0.279,0.235,0.157,0.171,0.191,0.238,2,4,2006-2007,POFF,6
Utah Jazz,0.486,0.498,0.262,0.294,0.168,0.157,0.314,0.239,9,8,2006-2007,POFF,17
Washington Wizards,0.45,0.49,0.202,0.326,0.099,0.14,0.219,0.323,0,4,2006-2007,POFF,4
Atlanta Hawks,0.483,0.501,0.263,0.217,0.155,0.143,0.297,0.283,37,45,2007-2008,REG,82
Boston Celtics,0.522,0.457,0.267,0.253,0.158,0.168,0.266,0.256,66,16,2007-2008,REG,82
Charlotte Bobcats,0.492,0.505,0.23,0.235,0.15,0.149,0.256,0.291,32,50,2007-2008,REG,82
Chicago Bulls,0.47,0.496,0.223,0.258,0.151,0.157,0.289,0.27,33,49,2007-2008,REG,82
Cleveland Cavaliers,0.48,0.494,0.221,0.24,0.145,0.141,0.304,0.241,45,37,2007-2008,REG,82
Dallas Mavericks,0.502,0.474,0.259,0.252,0.134,0.128,0.267,0.25,51,31,2007-2008,REG,82
Denver Nuggets,0.51,0.499,0.269,0.203,0.144,0.156,0.255,0.279,50,32,2007-2008,REG,82
Detroit Pistons,0.495,0.47,0.23,0.244,0.127,0.146,0.294,0.263,59,23,2007-2008,REG,82
Golden State Warriors,0.511,0.509,0.208,0.258,0.131,0.163,0.272,0.297,48,34,2007-2008,REG,82
Houston Rockets,0.492,0.465,0.2,0.214,0.145,0.143,0.291,0.252,55,27,2007-2008,REG,82
Indiana Pacers,0.498,0.498,0.224,0.271,0.15,0.154,0.244,0.261,36,46,2007-2008,REG,82
Los Angeles Clippers,0.465,0.503,0.264,0.236,0.148,0.143,0.231,0.269,23,59,2007-2008,REG,82
Los Angeles Lakers,0.525,0.485,0.256,0.214,0.142,0.143,0.263,0.266,57,25,2007-2008,REG,82
Memphis Grizzlies,0.5,0.521,0.225,0.196,0.155,0.135,0.238,0.266,22,60,2007-2008,REG,82
Miami Heat,0.482,0.51,0.218,0.246,0.155,0.148,0.221,0.281,15,67,2007-2008,REG,82
Milwaukee Bucks,0.482,0.524,0.215,0.25,0.155,0.143,0.3,0.27,26,56,2007-2008,REG,82
Minnesota Timberwolves,0.484,0.513,0.183,0.269,0.152,0.141,0.275,0.264,22,60,2007-2008,REG,82
New Jersey Nets,0.481,0.497,0.255,0.271,0.156,0.139,0.266,0.262,34,48,2007-2008,REG,82
New Orleans Hornets,0.512,0.501,0.193,0.184,0.125,0.147,0.27,0.246,56,26,2007-2008,REG,82
New York Knicks,0.475,0.518,0.226,0.229,0.149,0.133,0.286,0.273,23,59,2007-2008,REG,82
Seattle SuperSonics,0.467,0.503,0.204,0.215,0.158,0.13,0.268,0.263,20,62,2007-2008,REG,82
Orlando Magic,0.537,0.484,0.256,0.217,0.148,0.136,0.234,0.252,52,30,2007-2008,REG,82
Philadelphia 76ers,0.482,0.504,0.227,0.205,0.15,0.165,0.318,0.28,40,42,2007-2008,REG,82
Phoenix Suns,0.551,0.488,0.228,0.191,0.144,0.132,0.224,0.291,55,27,2007-2008,REG,82
Portland Trailblazers,0.489,0.491,0.216,0.212,0.137,0.136,0.268,0.282,41,41,2007-2008,REG,82
Sacramento Kings,0.503,0.51,0.276,0.256,0.161,0.154,0.252,0.283,38,44,2007-2008,REG,82
San Antonio Spurs,0.504,0.477,0.21,0.201,0.135,0.139,0.234,0.229,56,26,2007-2008,REG,82
Toronto Raptors,0.511,0.505,0.2,0.205,0.123,0.147,0.234,0.25,41,41,2007-2008,REG,82
Utah Jazz,0.528,0.501,0.265,0.294,0.153,0.165,0.295,0.259,54,28,2007-2008,REG,82
Washington Wizards,0.489,0.513,0.233,0.217,0.139,0.148,0.289,0.272,43,39,2007-2008,REG,82
Atlanta Hawks,0.439,0.504,0.345,0.206,0.174,0.115,0.305,0.327,3,4,2007-2008,POFF,7
Boston Celtics,0.487,0.463,0.277,0.313,0.142,0.153,0.295,0.254,16,10,2007-2008,POFF,26
Cleveland Cavaliers,0.465,0.46,0.285,0.285,0.149,0.144,0.291,0.248,7,6,2007-2008,POFF,13
Dallas Mavericks,0.447,0.527,0.3,0.206,0.119,0.085,0.317,0.245,1,4,2007-2008,POFF,5
Denver Nuggets,0.452,0.536,0.243,0.24,0.148,0.11,0.346,0.259,0,4,2007-2008,POFF,4
Detroit Pistons,0.485,0.478,0.257,0.275,0.137,0.167,0.277,0.313,10,7,2007-2008,POFF,17
Houston Rockets,0.446,0.482,0.227,0.231,0.122,0.143,0.298,0.307,2,4,2007-2008,POFF,6
Los Angeles Lakers,0.512,0.477,0.279,0.255,0.138,0.138,0.222,0.289,14,7,2007-2008,POFF,21
New Orleans Hornets,0.499,0.483,0.193,0.235,0.095,0.134,0.242,0.268,7,5,2007-2008,POFF,12
Orlando Magic,0.529,0.464,0.229,0.226,0.165,0.095,0.29,0.25,5,5,2007-2008,POFF,10
Philadelphia 76ers,0.43,0.523,0.29,0.189,0.165,0.185,0.339,0.33,2,4,2007-2008,POFF,6
Phoenix Suns,0.492,0.493,0.235,0.216,0.12,0.135,0.219,0.237,1,4,2007-2008,POFF,5
San Antonio Spurs,0.493,0.486,0.194,0.197,0.137,0.117,0.214,0.224,9,8,2007-2008,POFF,17
Toronto Raptors,0.484,0.533,0.194,0.26,0.105,0.151,0.231,0.303,1,4,2007-2008,POFF,5
Utah Jazz,0.481,0.49,0.248,0.314,0.139,0.136,0.334,0.263,6,6,2007-2008,POFF,12
Washington Wizards,0.466,0.485,0.295,0.265,0.132,0.148,0.234,0.322,2,4,2007-2008,POFF,6
Atlanta Hawks,0.505,0.494,0.238,0.21,0.137,0.144,0.26,0.284,47,35,2008-2009,REG,82
Boston Celtics,0.528,0.47,0.251,0.253,0.165,0.152,0.279,0.244,62,20,2008-2009,REG,82
Charlotte Bobcats,0.494,0.498,0.231,0.23,0.167,0.158,0.277,0.27,35,47,2008-2009,REG,82
Chicago Bulls,0.493,0.493,0.239,0.238,0.147,0.146,0.28,0.291,41,41,2008-2009,REG,82
Cleveland Cavaliers,0.519,0.468,0.236,0.226,0.135,0.15,0.277,0.254,66,16,2008-2009,REG,82
Dallas Mavericks,0.504,0.493,0.224,0.225,0.133,0.135,0.266,0.254,50,32,2008-2009,REG,82
Denver Nuggets,0.512,0.485,0.291,0.259,0.159,0.156,0.275,0.283,54,28,2008-2009,REG,82
Detroit Pistons,0.483,0.485,0.212,0.248,0.128,0.128,0.279,0.26,39,43,2008-2009,REG,82
Golden State Warriors,0.497,0.508,0.268,0.251,0.143,0.146,0.261,0.319,29,53,2008-2009,REG,82
Houston Rockets,0.501,0.479,0.235,0.192,0.147,0.131,0.264,0.247,53,29,2008-2009,REG,82
Indiana Pacers,0.501,0.499,0.215,0.271,0.144,0.138,0.254,0.255,36,46,2008-2009,REG,82
Los Angeles Clippers,0.481,0.512,0.202,0.227,0.153,0.138,0.251,0.288,19,63,2008-2009,REG,82
Los Angeles Lakers,0.513,0.49,0.23,0.213,0.139,0.156,0.294,0.27,65,17,2008-2009,REG,82
Memphis Grizzlies,0.486,0.515,0.249,0.247,0.157,0.154,0.258,0.265,24,58,2008-2009,REG,82
Miami Heat,0.5,0.501,0.212,0.251,0.131,0.161,0.246,0.271,43,39,2008-2009,REG,82
Milwaukee Bucks,0.483,0.503,0.239,0.315,0.146,0.168,0.278,0.26,34,48,2008-2009,REG,82
Minnesota Timberwolves,0.481,0.515,0.222,0.254,0.147,0.132,0.278,0.25,24,58,2008-2009,REG,82
New Jersey Nets,0.497,0.509,0.236,0.272,0.137,0.142,0.252,0.265,34,48,2008-2009,REG,82
New Orleans Hornets,0.501,0.496,0.232,0.23,0.133,0.143,0.246,0.251,49,33,2008-2009,REG,82
New York Knicks,0.503,0.52,0.21,0.215,0.143,0.143,0.244,0.273,32,50,2008-2009,REG,82
Oklahoma City Thunder,0.471,0.514,0.242,0.216,0.164,0.143,0.286,0.262,23,59,2008-2009,REG,82
Orlando Magic,0.52,0.465,0.251,0.209,0.147,0.135,0.24,0.241,59,23,2008-2009,REG,82
Philadelphia 76ers,0.485,0.507,0.253,0.216,0.149,0.165,0.313,0.286,41,41,2008-2009,REG,82
Phoenix Suns,0.545,0.511,0.25,0.233,0.161,0.141,0.277,0.283,46,36,2008-2009,REG,82
Portland Trailblazers,0.511,0.499,0.234,0.227,0.139,0.145,0.326,0.25,54,28,2008-2009,REG,82
Sacramento Kings,0.491,0.526,0.252,0.269,0.155,0.144,0.245,0.301,17,65,2008-2009,REG,82
San Antonio Spurs,0.513,0.487,0.191,0.191,0.125,0.127,0.221,0.22,54,28,2008-2009,REG,82
Toronto Raptors,0.494,0.511,0.23,0.202,0.139,0.138,0.24,0.263,33,49,2008-2009,REG,82
Utah Jazz,0.504,0.505,0.274,0.262,0.152,0.166,0.282,0.273,48,34,2008-2009,REG,82
Washington Wizards,0.48,0.533,0.225,0.227,0.148,0.147,0.277,0.286,19,63,2008-2009,REG,82
Atlanta Hawks,0.45,0.514,0.241,0.263,0.135,0.151,0.261,0.302,4,7,2008-2009,POFF,11
Boston Celtics,0.485,0.493,0.245,0.265,0.132,0.143,0.251,0.222,7,7,2008-2009,POFF,14
Chicago Bulls,0.483,0.495,0.277,0.243,0.149,0.125,0.243,0.268,3,4,2008-2009,POFF,7
Cleveland Cavaliers,0.507,0.48,0.284,0.23,0.131,0.138,0.277,0.217,10,4,2008-2009,POFF,14
Dallas Mavericks,0.518,0.525,0.305,0.271,0.135,0.12,0.247,0.226,5,5,2008-2009,POFF,10
Denver Nuggets,0.526,0.493,0.324,0.326,0.127,0.157,0.264,0.253,10,6,2008-2009,POFF,16
Detroit Pistons,0.429,0.498,0.156,0.349,0.135,0.126,0.197,0.268,0,4,2008-2009,POFF,4
Houston Rockets,0.49,0.487,0.221,0.21,0.15,0.129,0.248,0.263,7,6,2008-2009,POFF,13
Los Angeles Lakers,0.508,0.471,0.255,0.27,0.136,0.15,0.271,0.262,16,7,2008-2009,POFF,23
Miami Heat,0.501,0.464,0.265,0.261,0.15,0.133,0.252,0.269,3,4,2008-2009,POFF,7
New Orleans Hornets,0.439,0.563,0.322,0.29,0.189,0.134,0.224,0.265,1,4,2008-2009,POFF,5
Orlando Magic,0.513,0.488,0.26,0.232,0.141,0.133,0.216,0.228,13,11,2008-2009,POFF,24
Philadelphia 76ers,0.492,0.514,0.196,0.237,0.155,0.139,0.213,0.258,2,4,2008-2009,POFF,6
Portland Trailblazers,0.484,0.517,0.201,0.222,0.128,0.132,0.237,0.239,2,4,2008-2009,POFF,6
San Antonio Spurs,0.495,0.516,0.191,0.274,0.126,0.125,0.213,0.234,1,4,2008-2009,POFF,5
Utah Jazz,0.463,0.546,0.277,0.271,0.149,0.165,0.304,0.265,1,4,2008-2009,POFF,5
Atlanta Hawks,0.506,0.496,0.214,0.208,0.127,0.145,0.282,0.273,53,29,2009-2010,REG,82
Boston Celtics,0.522,0.487,0.248,0.251,0.154,0.164,0.229,0.262,50,32,2009-2010,REG,82
Charlotte Bobcats,0.49,0.491,0.26,0.194,0.164,0.161,0.265,0.259,44,38,2009-2010,REG,82
Chicago Bulls,0.477,0.484,0.217,0.212,0.146,0.135,0.266,0.252,41,41,2009-2010,REG,82
Cleveland Cavaliers,0.532,0.482,0.246,0.218,0.143,0.133,0.251,0.228,61,21,2009-2010,REG,82
Dallas Mavericks,0.506,0.495,0.226,0.206,0.133,0.148,0.243,0.263,55,27,2009-2010,REG,82
Denver Nuggets,0.509,0.495,0.29,0.251,0.143,0.15,0.261,0.276,53,29,2009-2010,REG,82
Detroit Pistons,0.474,0.526,0.22,0.264,0.142,0.154,0.303,0.266,27,55,2009-2010,REG,82
Golden State Warriors,0.514,0.525,0.23,0.261,0.142,0.17,0.21,0.315,26,56,2009-2010,REG,82
Houston Rockets,0.494,0.511,0.226,0.215,0.146,0.15,0.27,0.262,42,40,2009-2010,REG,82
Indiana Pacers,0.491,0.49,0.229,0.258,0.147,0.147,0.216,0.27,32,50,2009-2010,REG,82
Los Angeles Clippers,0.491,0.509,0.206,0.214,0.162,0.134,0.271,0.26,29,53,2009-2010,REG,82
Los Angeles Lakers,0.496,0.484,0.221,0.195,0.14,0.144,0.277,0.256,57,25,2009-2010,REG,82
Memphis Grizzlies,0.494,0.52,0.235,0.205,0.154,0.146,0.313,0.267,40,42,2009-2010,REG,82
Miami Heat,0.496,0.48,0.223,0.246,0.137,0.152,0.261,0.251,47,35,2009-2010,REG,82
Milwaukee Bucks,0.482,0.486,0.181,0.266,0.137,0.158,0.262,0.236,46,36,2009-2010,REG,82
Minnesota Timberwolves,0.478,0.525,0.207,0.22,0.162,0.142,0.267,0.264,15,67,2009-2010,REG,82
New Jersey Nets,0.458,0.517,0.24,0.229,0.147,0.145,0.251,0.282,12,70,2009-2010,REG,82
New Orleans Hornets,0.506,0.523,0.189,0.206,0.137,0.148,0.248,0.262,37,45,2009-2010,REG,82
New York Knicks,0.509,0.526,0.2,0.207,0.142,0.147,0.235,0.279,29,53,2009-2010,REG,82
Oklahoma City Thunder,0.494,0.483,0.268,0.229,0.152,0.154,0.286,0.264,50,32,2009-2010,REG,82
Orlando Magic,0.536,0.477,0.246,0.205,0.149,0.131,0.246,0.226,59,23,2009-2010,REG,82
Philadelphia 76ers,0.496,0.518,0.204,0.231,0.15,0.149,0.276,0.268,27,55,2009-2010,REG,82
Phoenix Suns,0.546,0.491,0.24,0.224,0.148,0.131,0.276,0.292,54,28,2009-2010,REG,82
Portland Trailblazers,0.499,0.502,0.249,0.22,0.131,0.145,0.282,0.252,50,32,2009-2010,REG,82
Sacramento Kings,0.491,0.505,0.207,0.244,0.15,0.139,0.278,0.265,25,57,2009-2010,REG,82
San Antonio Spurs,0.515,0.483,0.219,0.214,0.142,0.132,0.268,0.237,50,32,2009-2010,REG,82
Toronto Raptors,0.521,0.513,0.244,0.247,0.139,0.129,0.247,0.271,40,42,2009-2010,REG,82
Utah Jazz,0.524,0.492,0.252,0.269,0.156,0.154,0.269,0.244,53,29,2009-2010,REG,82
Washington Wizards,0.481,0.502,0.216,0.239,0.153,0.139,0.276,0.276,26,56,2009-2010,REG,82
Atlanta Hawks,0.453,0.515,0.217,0.224,0.121,0.131,0.298,0.276,4,7,2009-2010,POFF,11
Boston Celtics,0.491,0.473,0.258,0.285,0.147,0.165,0.231,0.254,15,9,2009-2010,POFF,24
Charlotte Bobcats,0.477,0.522,0.259,0.335,0.168,0.14,0.23,0.248,0,4,2009-2010,POFF,4
Chicago Bulls,0.457,0.558,0.211,0.249,0.101,0.142,0.25,0.23,1,4,2009-2010,POFF,5
Cleveland Cavaliers,0.517,0.481,0.311,0.24,0.156,0.121,0.221,0.243,6,5,2009-2010,POFF,11
Dallas Mavericks,0.468,0.486,0.233,0.224,0.134,0.14,0.281,0.26,2,4,2009-2010,POFF,6
Denver Nuggets,0.517,0.548,0.359,0.358,0.139,0.144,0.258,0.231,2,4,2009-2010,POFF,6
Los Angeles Lakers,0.502,0.475,0.241,0.277,0.133,0.132,0.31,0.276,16,7,2009-2010,POFF,23
Miami Heat,0.479,0.523,0.176,0.266,0.178,0.162,0.226,0.208,1,4,2009-2010,POFF,5
Milwaukee Bucks,0.465,0.482,0.201,0.201,0.133,0.129,0.279,0.331,3,4,2009-2010,POFF,7
Oklahoma City Thunder,0.426,0.488,0.344,0.196,0.125,0.139,0.267,0.264,2,4,2009-2010,POFF,6
Orlando Magic,0.533,0.458,0.299,0.27,0.152,0.139,0.248,0.227,10,4,2009-2010,POFF,14
Phoenix Suns,0.536,0.512,0.273,0.242,0.133,0.125,0.274,0.274,10,6,2009-2010,POFF,16
Portland Trailblazers,0.471,0.536,0.269,0.247,0.123,0.137,0.265,0.29,2,4,2009-2010,POFF,6
San Antonio Spurs,0.494,0.499,0.236,0.245,0.138,0.137,0.241,0.264,4,6,2009-2010,POFF,10
Utah Jazz,0.52,0.522,0.307,0.328,0.136,0.135,0.265,0.29,4,6,2009-2010,POFF,10
Atlanta Hawks,0.501,0.495,0.209,0.211,0.143,0.134,0.235,0.254,44,38,2010-2011,REG,82
Boston Celtics,0.519,0.469,0.235,0.235,0.15,0.161,0.211,0.253,56,26,2010-2011,REG,82
Charlotte Bobcats,0.482,0.5,0.237,0.229,0.153,0.14,0.257,0.248,34,48,2010-2011,REG,82
Chicago Bulls,0.501,0.463,0.227,0.222,0.149,0.148,0.294,0.238,62,20,2010-2011,REG,82
Cleveland Cavaliers,0.472,0.524,0.233,0.211,0.148,0.14,0.242,0.267,19,63,2010-2011,REG,82
Dallas Mavericks,0.525,0.488,0.222,0.206,0.148,0.143,0.241,0.252,57,25,2010-2011,REG,82
Denver Nuggets,0.526,0.5,0.281,0.224,0.145,0.138,0.239,0.246,50,32,2010-2011,REG,82
Detroit Pistons,0.495,0.526,0.206,0.235,0.137,0.152,0.274,0.279,30,52,2010-2011,REG,82
Golden State Warriors,0.51,0.509,0.183,0.259,0.148,0.161,0.267,0.307,36,46,2010-2011,REG,82
Houston Rockets,0.503,0.5,0.239,0.219,0.135,0.14,0.274,0.273,43,39,2010-2011,REG,82
Indiana Pacers,0.486,0.487,0.235,0.237,0.156,0.141,0.259,0.26,37,45,2010-2011,REG,82
Los Angeles Clippers,0.496,0.499,0.235,0.25,0.167,0.14,0.284,0.268,32,50,2010-2011,REG,82
Los Angeles Lakers,0.502,0.477,0.228,0.181,0.138,0.143,0.292,0.277,57,25,2010-2011,REG,82
Memphis Grizzlies,0.493,0.502,0.219,0.228,0.146,0.172,0.289,0.275,46,36,2010-2011,REG,82
Miami Heat,0.524,0.475,0.279,0.223,0.146,0.137,0.252,0.245,58,24,2010-2011,REG,82
Milwaukee Bucks,0.467,0.481,0.218,0.236,0.139,0.162,0.247,0.252,35,47,2010-2011,REG,82
Minnesota Timberwolves,0.483,0.514,0.217,0.251,0.171,0.143,0.296,0.263,17,65,2010-2011,REG,82
New Jersey Nets,0.474,0.503,0.215,0.241,0.143,0.13,0.261,0.258,24,58,2010-2011,REG,82
New Orleans Hornets,0.493,0.501,0.226,0.22,0.137,0.154,0.251,0.238,46,36,2010-2011,REG,82
New York Knicks,0.513,0.511,0.246,0.24,0.14,0.149,0.243,0.281,42,40,2010-2011,REG,82
Oklahoma City Thunder,0.501,0.493,0.299,0.228,0.143,0.142,0.274,0.264,55,27,2010-2011,REG,82
Orlando Magic,0.521,0.475,0.227,0.219,0.158,0.142,0.261,0.231,52,30,2010-2011,REG,82
Philadelphia 76ers,0.494,0.487,0.21,0.231,0.132,0.146,0.246,0.255,41,41,2010-2011,REG,82
Phoenix Suns,0.522,0.513,0.215,0.211,0.142,0.144,0.237,0.284,40,42,2010-2011,REG,82
Portland Trailblazers,0.486,0.51,0.224,0.231,0.141,0.17,0.295,0.28,48,34,2010-2011,REG,82
Sacramento Kings,0.48,0.513,0.209,0.233,0.164,0.147,0.299,0.256,24,58,2010-2011,REG,82
San Antonio Spurs,0.527,0.491,0.23,0.19,0.139,0.14,0.25,0.254,61,21,2010-2011,REG,82
Toronto Raptors,0.491,0.522,0.221,0.251,0.151,0.144,0.282,0.28,22,60,2010-2011,REG,82
Utah Jazz,0.498,0.505,0.241,0.275,0.148,0.152,0.27,0.284,39,43,2010-2011,REG,82
Washington Wizards,0.471,0.512,0.216,0.249,0.156,0.158,0.28,0.295,23,59,2010-2011,REG,82
Atlanta Hawks,0.464,0.47,0.21,0.233,0.132,0.136,0.229,0.294,6,6,2010-2011,POFF,12
Boston Celtics,0.514,0.466,0.204,0.276,0.162,0.155,0.236,0.279,5,4,2010-2011,POFF,9
Chicago Bulls,0.461,0.462,0.226,0.256,0.145,0.148,0.323,0.239,9,7,2010-2011,POFF,16
Dallas Mavericks,0.519,0.482,0.274,0.245,0.144,0.145,0.251,0.283,16,5,2010-2011,POFF,21
Denver Nuggets,0.468,0.468,0.33,0.343,0.127,0.135,0.172,0.292,1,4,2010-2011,POFF,5
Indiana Pacers,0.445,0.461,0.234,0.291,0.154,0.173,0.292,0.368,1,4,2010-2011,POFF,5
Los Angeles Lakers,0.477,0.524,0.244,0.245,0.142,0.147,0.308,0.212,4,6,2010-2011,POFF,10
Memphis Grizzlies,0.46,0.482,0.255,0.289,0.133,0.16,0.281,0.278,7,6,2010-2011,POFF,13
Miami Heat,0.485,0.475,0.295,0.215,0.147,0.139,0.26,0.246,14,7,2010-2011,POFF,21
New Orleans Hornets,0.488,0.5,0.267,0.295,0.144,0.147,0.212,0.323,2,4,2010-2011,POFF,6
New York Knicks,0.435,0.52,0.223,0.174,0.161,0.169,0.307,0.307,0,4,2010-2011,POFF,4
Oklahoma City Thunder,0.482,0.46,0.321,0.305,0.159,0.129,0.313,0.256,9,8,2010-2011,POFF,17
Orlando Magic,0.449,0.465,0.27,0.205,0.145,0.134,0.289,0.234,2,4,2010-2011,POFF,6
Philadelphia 76ers,0.453,0.462,0.154,0.303,0.108,0.124,0.239,0.309,1,4,2010-2011,POFF,5
