Team,Pts,Opp Pts,Avg. Mrg,Pace,Off Eff,Def Eff,Net Rtg,EFg%,Opp EFg%,Ts%,Opp Ts%,Win,Loss,Reb Rate,Eff Pts,Opp Eff Pts,Season,Season Type,Match Count,,,,,,,,,,,,,,
Utah Jazz,93.32,86.8,6.52,87.37,105.28,98.26,7.02,0.485,0.441,0.545,0.489,37,13,51.68,110.66,90.46,1998-1999,REG,50,,,,,,,,,,,,,,
Washington Wizards,91.2,93.44,-2.24,90.03,100.89,103.34,-2.46,0.468,0.474,0.507,0.525,18,32,48.35,98.92,105.08,1998-1999,REG,50,,,,,,,,,,,,,,
Portland Trailblazers,86.15,86.62,-0.46,85.31,100.99,101.9,-0.91,0.451,0.463,0.518,0.515,7,6,50.25,94.08,97.77,1998-1999,POFF,13,,,,,,,,,,,,,,
Phoenix Suns,92.33,102.67,-10.33,91.33,101.1,112,-10.91,0.473,0.558,0.512,0.618,0,3,45,95,123.33,1998-1999,POFF,3,,,,,,,,,,,,,,
Philadelphia 76ers,89.25,88.75,0.5,88,101.42,100.42,1,0.437,0.451,0.48,0.511,3,5,51.3,100.75,96.13,1998-1999,POFF,8,,,,,,,,,,,,,,
Orlando Magic,86.25,92.5,-6.25,90.75,95.04,103.06,-8.02,0.422,0.452,0.49,0.501,1,3,45.93,85.75,110.25,1998-1999,POFF,4,,,,,,,,,,,,,,
New York Knicks,85,83,2,85.55,99.36,97.02,2.34,0.451,0.437,0.501,0.497,12,8,50.22,89.85,86.6,1998-1999,POFF,20,,,,,,,,,,,,,,
Minnesota Timberwolves,80.5,86.75,-6.25,86.25,93.33,101.17,-7.83,0.412,0.459,0.453,0.512,1,3,51.63,88.5,102,1998-1999,POFF,4,,,,,,,,,,,,,,
Milwaukee Bucks,95.33,105.67,-10.33,88.59,104,115.27,-11.27,0.484,0.508,0.542,0.569,0,3,46.34,102.67,122.67,1998-1999,POFF,3,,,,,,,,,,,,,,
Miami Heat,79,83,-4,81,97.53,102.47,-4.94,0.441,0.471,0.495,0.516,2,3,46.84,82,89.6,1998-1999,POFF,5,,,,,,,,,,,,,,
Los Angeles Lakers,94,96.88,-2.88,91.63,102.59,105.59,-2.99,0.473,0.481,0.508,0.54,3,5,48.14,98.88,108.88,1998-1999,POFF,8,,,,,,,,,,,,,,
Indiana Pacers,93.62,90,3.62,87.38,106.29,101.92,4.37,0.485,0.453,0.54,0.505,9,4,51.88,104.08,94.69,1998-1999,POFF,13,,,,,,,,,,,,,,
Houston Rockets,97,99.25,-2.25,92,105.44,108.47,-3.04,0.463,0.508,0.517,0.536,1,3,52.89,108.25,112,1998-1999,POFF,4,,,,,,,,,,,,,,
Detroit Pistons,79.2,82.2,-3,79.6,99.5,103.79,-4.29,0.452,0.484,0.487,0.522,2,3,49.3,83.8,88.6,1998-1999,POFF,5,,,,,,,,,,,,,,
Atlanta Hawks,79.67,82.44,-2.78,82.56,96.5,100,-3.5,0.415,0.461,0.47,0.502,3,6,49.93,79.89,90.56,1998-1999,POFF,9,,,,,,,,,,,,,,
Sacramento Kings,90.6,95.4,-4.8,89.47,97.21,101.49,-4.28,0.446,0.46,0.497,0.515,2,3,48.36,93.6,111.2,1998-1999,POFF,5,,,,,,,,,,,,,,
San Antonio Spurs,88.41,81.18,7.24,86.29,102.45,93.56,8.9,0.48,0.417,0.535,0.463,15,2,50.37,102.88,83.06,1998-1999,POFF,17,,,,,,,,,,,,,,
Utah Jazz,89.18,87.36,1.82,87.08,100.51,98.97,1.54,0.451,0.435,0.51,0.499,5,6,51.48,102.36,91,1998-1999,POFF,11,,,,,,,,,,,,,,
Atlanta Hawks,94.33,99.71,-5.38,92.39,101.32,106.9,-5.58,0.46,0.481,0.504,0.521,28,54,51.31,102.73,114.94,1999-2000,REG,82,,,,,,,,,,,,,,
Boston Celtics,99.34,100.1,-0.76,95.16,104.13,105.31,-1.18,0.474,0.498,0.52,0.552,35,47,50.99,108.48,111.99,1999-2000,REG,82,,,,,,,,,,,,,,
Chicago Bulls,84.78,94.18,-9.4,89.84,93.77,104.15,-10.39,0.443,0.484,0.49,0.529,17,65,49.55,89.17,111.46,1999-2000,REG,82,,,,,,,,,,,,,,
Cleveland Cavaliers,96.95,100.45,-3.5,96.12,99.98,103.4,-3.43,0.468,0.474,0.516,0.529,32,50,49.37,107.16,113.59,1999-2000,REG,82,,,,,,,,,,,,,,
Dallas Mavericks,101.42,101.99,-0.57,95.31,106.14,106.71,-0.57,0.49,0.488,0.532,0.527,40,42,45.95,112.59,117.45,1999-2000,REG,82,,,,,,,,,,,,,,
